,location,Zone / Region,Observer Affiliation,Activity,Cloud Cover,Temperature (F),New or Recent Snowfall (cm),Rain/Snow Line,Snow Available For Transport,Wind Loading,Weather Summary,Observation Date,Submission Date,Observer Name,Observer type,Observation Summary,SIGNS OF INSTABILITY,Instability Comments,Latitude,Longitude,Route,Location,Distribution,Sensitivity,Size
341,Central Glacier Park,Flathead Range & Glacier NP,Flathead Avalanche Center,Walking/Hiking,"Overcast (Cloudy, 8/8 covered)",Below freezing,0,Not Observed,Small Amounts,None,Calm day with a two layer inversion. Low elevations were in the clouds and overcast skies kept the temperatures from rising.,"Dec 14, 2023 (7:30) - Dec 14, 2023 (17:30)","Dec 14, 2023",Sarah Williams,forecaster,"We got an early start and headed to Glacier Park to get to 7500 feet.

The atmospheric river crust buried December 7th extends at or above 7500 feet in this location.
Yesterday (December 13th), an inversion baked the upper elevation’s surface snow, creating a surface crust ranging from an inch to 1.5 inches thick. 
At middle elevations, the crust was thinner, which we speculated was a result of the cloud inversion that kept these elevations from receiving direct sunlight.
Our takeaway for backcountry travel in this area remains that conditions are challenging. Low snowfall, surface crust, and downfall hazards meant less skiing and more walking.",None Reported,No recent avalanches or signs of instability observed today.,48.402214,-114.13365,"We traveled mostly on a trail on southwest, west, and northwest aspects.",,,,
342,Crown Bowl,Swan Range,,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",Not Observed,0,Not Observed,Not Observed,None,Intermittent sun early with clouds developing as the day went on. Light winds.,"Dec 14, 2023","Dec 14, 2023",,public,"Intermittent sunshine and calm winds accompanied the tour today. Digging atop the Picnic Lakes we found the 12/7 crust and felt comfortable skiing steep terrain down to picnic lakes. We skinned back up to the ridge north of the radio towers. Stomping cornices along this ridge yielded no concerning results. We skied a wind scoured steep W aspect in the Crown Bowl. The apron had a 2-4 inch wind slab on it. Looking above us we saw another steep run that appeared sheltered from the wind. We then skinned to near the top of the Crown Bowl again. This time choosing to ride a steep NW aspect skier's left of the top of the bowl. The snow up top was unconsolidated without a slab and we decided to ski this slope. The first rider was a snowboarder that rode the slope with no problems. The second rider was a skier that after descending about halfway down the slope, triggered, was caught and carried by a D1 Wind Slab avalanche. The skier was not buried and sustained no injuries, see avalanche tab for more information.",Avalanches Observed  Avalanches Triggered  Caught in Avalanche,"Throughout the tour we checked for weak layers and signs of instability. None were readily apparent. We found the 12/7 rain crust above the basal facets and cornices were unreactive to stomping throughout the day. Throughout the tour there were no major red flags, which matched the low avalanche danger rating for the day. However, we triggered and a skier was caught and carried in a D1 Wind Slab avalanche.",48.402214,-114.13365,"We toured from Camp Misery to the top of Radio Tower Ridge, skied down to Picnic Lakes, back up to Radio Tower Ridge, skied a steep W aspect on Crown Bowl, skinned to just below the top of Crown Bowl and skied a steep NW aspect on Crown Bowl.",,,,
343,Flathead Range,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Dec 13, 2023","Dec 13, 2023",Michael Reavis,public,"Spent the day above the inversion with stable conditions, nominal wind, and great snow.-The stratus deck hovered around 5500' all day. Above that, the sun was taking it's toll on South aspects; rollerball activity was noted in the 6500' band on the truest of S aspects. Above that and along ridgeline, the surface stayed cool. -Rain from last week washed away the base below 5500' (snow intercept from trees kept totals from the recent snowfall to about 2-4""), above 5500' there is a decent base with 6-10"" of powder which made for easy skinning. -Wind was non-existent, but around noon I noticed flagging on the bigger peaks of the Flathead range and soon was experiencing winds strong enough to transport snow, although minimal. -Sloughing within the recent snow was observed in steep, alpine terrain and ran moderate distances. -I dug a pit at 7300' on an E aspect. Snow depth in this leeward location was 190cm (!)         -Within the recent snow (~40cm) there was a friable M/F crust (~1cm) near the           surface. Not really sure when or how it was formed, but it existed everywhere I travelled above           6000'        -The structure looked really good. 40cm of recent snow well bonded to a knife-hard rain crust 3""           thick.         -Underneath the rain crust is a conglomerate of saturated, but now frozen grains that was hard           to dig into.        -I probed a more representative slope and measured 90cm at 7000'-I skied an East aspect and experienced wonderful conditions (the friable M/F was hardly noticeable and quite surfy)-Stomping cornices along ridgeline produced no results and no surface hoar was observed throughout the tour. -Overall a great day out with plenty of good snow to be found in areas above 6500' that aren't heavily timbered",None Reported,,48.402214,-114.13365,,,,,
344,Baptiste,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,Clear (No clouds),Near Freezing,40,5000,Moderate Amounts,Moderate,Beautiful day. Stratus deck was around 6k in the south fork. Burned off by 1400.,"Dec 13, 2023 (7:00) - Dec 13, 2023 (18:30)","Dec 13, 2023",Cam Johnson,forecaster,"Overall we found excellent skiing conditions and a mostly stable snowpack. There was however one outlier that alaramed us.

We observed only a few recent natural avalanches. These were all loose dry and likely occurred over the last few days.
Solar aspects warmed and ititiated numerous small rollerballs. We felt a cold south wind pick up soon after, which helped keep surfaces cool. 
This past weekends storm snow totaled up to 16 to 20 inches of snow. This snow appears to be bonding well to the underlying crust. We did find the 12/10 freezing rain crust within the new snow. This crust was unoticable while riding.
The 12/7 crust was 1 to 2 inches thick at our high point of roughly 8100 feet. 
We got unstable snowpit results on a very sheltered slope at 7400 feet on a northwest aspect. Here the crust was thin and a very tall layer of surface hoar existed a few inches beneath the crust. 

This structure was found no where else. I'll add that we dug 10 to 15 other hand pits and could not replicate it. 
Surface hoar is notoriously spotty, and for whatever reason the crust was thinner there than anywhere else. My takeaway was that I have zero interest in finding a slope with that structure. Deep enough to trigger, and deep enough that you won't know the slope is unstable until it fails. 



We ruled out sheltered slopes and headed over to a west faceing slope where we were confident the supportable crust existed, and the buried surface hoar got destroyed. We enjoyed excellent turns in steep terrain.",Avalanches Observed,,48.402214,-114.13365,,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
345,JFS Canyon - Running Rabbit Mtn,Flathead Range & Glacier NP,BNSF Avalanche Safety,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",Not Observed,Not Observed,Not Observed,Small Amounts,Previous,•	A sometimes-broken stratus deck of clouds hung around 6500-7500’ elevation band all day with clear skies above. No precipitation.•	Calm to light westerly winds with daytime high temperatures ranging from the low-20s°F above 6000’ to right around the freezing mark on the Canyon floor.,"Dec 12, 2023","Dec 12, 2023",Adam Clark,professional,"•	No avalanche activity observed.•	Not much snow. 3-5” total snow depth on the Canyon floor, about 8-10” at 5000’, 12-18” at 6500’. Snow depths increased quickly above here with typical depths of 2-3’ around 7000’. Deeper snow exists on the shaded aspects.•	Above-freezing temperatures and rain last week extended to at least 7200’ and likely much higher.•	No signs of instability observed save for one propagating result in an Extended Column Test (see pit profile below). This occurred in a layer of moist facets below the Dec. 7th crust•	The snowpack basically consisted of 5-10” of soft powder, newer snow on top, then the 2-4” thick Dec. 7 rain crust below that, then moist, rounding facets below that to the ground (pit profile).•	The more recent snow resting on top of the Dec. 7th crust seems to be mostly stable. Ski cuts on some wind slabs atop the crust did not produce any cracking or slab releases. No fractures in this layer with ECTs.",None Reported,,48.402214,-114.13365,•	Climbed the Shed 11/10.7 ridge to the Shed 11 weather station at 6400’ elevation. Then continued up the ridge above Shed 10.7 to the top of Path 1163 at 7200’.,,,,
346,Noisy Basin,Swan Range,Flathead Avalanche Center,Snowmobiling/Snowbiking,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",Below freezing in am,5 to 12 cm,Not Observed,Moderate Amounts,None,"Periods of clear skies with sun, when we were above the inversion layer of clouds. Winds were calm all day. When we made our exit, temps were above freezing.","Dec 11, 2023","Dec 11, 2023",Sarah Williams,forecaster,"We took a quick tour to Noisy Basin to check on new snow totals and to get above 7000 feet in elevation.

At 7000 feet, we found the atmospheric river crust which was buried on December 7th. Below the crust, the snow was moist with basal facets.
We were surprised by a lack of wind-affected surface snow. 
Snow depths at mid-elevations ranged from 115 to 130 cm (45 to 50 inches). The brush is not covered.
As the day progressed, warm temperatures caused trees to shed snow and our sled back to the truck included some dirt riding.
In the parking area, there were bear prints. They aren't hibernating just yet.",None Reported,"We observed a few isolated sluffs of 2 inches of soft, overnight snow that appeared to slide on the freezing rain crust. No cracking or collapsing was observed.",48.402214,-114.13365,,,,,
347,WMR Sidecountry,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",Below Freezing,35,4500,Moderate Amounts,None,Light precipitation throughout the day.,"Dec 11, 2023 (10:00) - Dec 11, 2023 (17:00)","Dec 11, 2023",Cam Johnson,forecaster,"We took a short trip to the neighboring country around WMR. In general we were pleasantly surprised to find more new snow than expected.

9 to 13 inches of storm snow rests on the 12/7 crust. We observed no signs of instability in the new snow.

We found the thin 12/10 crust roughly 4 inches below the surface. This crust is eggshell thick and hardly noticable while riding.


Snowpit tests revealed unstable results on north aspects. North aspects appeared to have a weaker snowpack structure than southerly aspects. See snowpack tab for more information.
The snowpack is still moist to wet below the 12/10 crust. I suspect this will continue to gain strength over time.",None Reported,No signs of instability.,48.402214,-114.13365,,,,,
348,Blacktail,Other,Flathead Nordic Backcountry Patrol,Other,"Overcast (Cloudy, 8/8 covered)",Not Observed,5,3000,Small Amounts,None,Light steady snowfall through the day. Maybe 1-2 inches of total accumulation by 4pm.We did not observe the freezing rain / rime crust that was described elsewhere in the region.,"Dec 10, 2023","Dec 11, 2023",Jackson George,public,Thin coverage in this part of the region. More information in the snowpack tab.,None Reported,No signs of instability,48.402214,-114.13365,FNBP annual skills/ rescue refresher up at Blacktail.,,,,
349,Doris,Swan Range,,Skiing/Snowboarding,,,,,,,,"Dec 10, 2023","Dec 10, 2023",,public,"New layer of freezing rain capping all the recent snow all the way up to at least 6200’, found about 8-10” of new snow on top of the prior rain event, but it was less of a defined crust compared to the Flathead range yesterday. The bottom of the snowpack was moist and uniform. Intermittent snow flurries once the freezing rain stopped.",None Reported,,48.402214,-114.13365,,,,,
350,Retirement Bowl,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Dec 10, 2023","Dec 10, 2023",Paul Fotter,public,"Observed no obvious signs of instability. Light precip throughout the day. There is a thin, new, zipper crust on the surface of Saturday night's snow. This crust is less present underneath trees and thicker in open terrain. Despite the crust we found the skiing quite enjoyable.",None Reported,,48.402214,-114.13365,,,,,
