,Whitefish Range,Conditions in the last 24hrsWMR Summit,Weather Forecast for Today,Weather Forecast for Tonight,Weather Forecast for Tomorrow,range,date,Conditions in the last 24hrsat WMR Summit,Conditions in the last 24hrsat WMR.,Conditions in the last 24hrsat WMR summit,Conditions in the last 24hrsat WMR,Conditions in the last 24hrsAt WMR summit,Conditions in the last 24hrsWMR summit,Conditions in the last 24hrsAt WMR Summit,Conditions in the last 24hrslWMR summit,Conditions in the last 24hrsWMR,Conditions in the last 24hrsat WMR Summit Station,Conditions in the last 12hrsWMR.,Conditions in the last 24hrsSummit of WMR,Swan Range,Conditions in the last 24hrsNoisy Basin/Aeneas Ridge,Conditions in the last 24hrsat Noisy/Aeneas Ridge,Conditions in the last 24hrsat Noisy Basin/Aeneas Ridge.,Conditions in the last 24hrsNoisy Basin/Aneas Ridge,Conditions in the last 24hrsat Noisy/ Aeneas Ridge,Conditions in the last 24hrsNoisy Basin,Conditions in the last 24hrsat Noisy/Aeneas Ridge.,Conditions in the last 24hrsat Noisy Basin/Aeneas Ridge,Conditions in the last 24hrsat Noisy Basin/ Aeneas Ridge,Conditions in the last 24hrsNoisy/Aeneas Ridge.,Conditions in the last 24hrsAt Noisy Basin/Aeneas Ridge,Conditions in the last 24hrsat Noisy/Aeneas.,Conditions in the last 24hrsNoisy Basin/ Aeneas Ridge,Conditions in the last 24hrsat Noisy/Aneas Ridge.,Conditions in the last 24hrsNoisy Basin /Aeneas Ridge,Conditions in the last 24hrsNoisy Basin/Aeneas.,Conditions in the last 24hrsat Noisy Basin.,Conditions in the last 24hrsat Noisy Basin/Aeneas.,Conditions in the last 24hrsNoisy Bain/Aeneas Ridge,Conditions in the last 24hrsat Noisy Basin,Conditions in the last 24hrsat Aeneas Ridge/Noisy Basin,Flathead Range & Glacier NP,Conditions in the last 24hrsTunnel Ridge,Conditions in the last 24hrsat Tunnel Ridge,Conditions in the last 24hrsat Tunnel Ridge.,Conditions in the last 24hrsat Tunnel,Conditions in the last 24hrs,Conditions in the last 24hrsAt Tunnel,Conditions in the last 24hrslShed 7/Snowslip,Conditions in the last 24hrsSnowslip/Shed 7,Conditions in the last 24hrsat Shed 7/Snowslip.,Conditions in the last 24hrsat Shed 7/ Snowslip,Conditions in the last 24hrsShed 7/Snowslip,Conditions in the last 24hrsat Snowslip/Shed 7,Conditions in the last 24hrsat Shed 7/Marias Pass.,Conditions in the last 24hrsat Shed 7/Snowslip,Conditions in the last 24hrsat Snowslip/ Shed 7,Conditions in the last 24hrsShed 7/Snowslip.,Conditions in the last 24hrsShed 7,Conditions in the last 24hrsat Shed 7,Conditions in the last 24hrsat Snowslip Mtn,Conditions in the last 24hrsat Snowslip/ Shed7,Conditions in the last 24hrsShed 4/Snowslip,Conditions in the last 24hrsShed 7/ Snowslip,Conditions in the last 24hrsat Shed 7/ Snowslip Mtn
4,,,"3"" to 5""","2"" to 4""","0"" to 2""",Swan Range,2022-12-30,,,,,,,,,,,,,Snowfall,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2500',3000',2500',Swan Range,2022-12-30,,,,,,,,,,,,,Snow Line,,,,,,,,,"3500""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-29,,,,,,,,,,,,,Cloud Cover,,,,,,,,,Obscured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,20 to 24 ° F,16 to 20 ° F,25 to 28 ° F,Swan Range,2022-12-29,,,,,,,,,,,,,Temperatures,,,,,,,,,Low: 23° F | High: 27° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Southwest,Southwest,Southwest,Swan Range,2022-12-29,,,,,,,,,,,,,Wind Direction,,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,14,13,16G31,Swan Range,2022-12-29,,,,,,,,,,,,,Wind Speed,,,,,,,,,3G17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"0 to 1""","0 to 1""","3"" to 4""",Swan Range,2022-12-29,,,,,,,,,,,,,Snowfall,,,,,,,,,"12""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2000',2000',2500',Swan Range,2022-12-29,,,,,,,,,,,,,Snow Line,,,,,,,,,3500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Overcast,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-28,,,,,,,,,,,,,Cloud Cover,,,,,,,,,,,,,,,,,,Overcast,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,23 to 26 ° F,18 to 21 ° F,22 to 25 ° F,Swan Range,2022-12-28,,,,,,,,,,,,,Temperatures,,,,,,,,,,,,,,,,,,Low: 28° F | High: 37° F,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Southwest,Southwest,Southwest,Swan Range,2022-12-28,,,,,,,,,,,,,Wind Direction,,,,,,,,,,,,,,,,,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,24G48,17G29,14,Swan Range,2022-12-28,,,,,,,,,,,,,Wind Speed,,,,,,,,,,,,,,,,,,34G68mph,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"10"" to 14""","5"" to 9""","0""",Swan Range,2022-12-28,,,,,,,,,,,,,Snowfall,,,,,,,,,,,,,,,,,,"5"" to 10""",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2500',2000',1500',Swan Range,2022-12-28,,,,,,,,,,,,,Snow Line,,,,,,,,,,,,,,,,,,5500',,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Overcast,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-27,,,,,,,,,,,,,Cloud Cover,,,,,,,,,Overcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,33 to 35 ° F,21 to 24 ° F,24 to 27 ° F,Swan Range,2022-12-27,,,,,,,,,,,,,Temperatures,,,,,,,,,Low: 34° F | High: 37° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Southwest,Southwest,Southwest,Swan Range,2022-12-27,,,,,,,,,,,,,Wind Direction,,,,,,,,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,25G46,37G60,25G48,Swan Range,2022-12-27,,,,,,,,,,,,,Wind Speed,,,,,,,,,35G65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"4"" to 7""","3"" to 5""","7"" to 11""",Swan Range,2022-12-27,,,,,,,,,,,,,Snowfall,,,,,,,,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,6000',3500',2500',Swan Range,2022-12-27,,,,,,,,,,,,,Snow Line,,,,,,,,,6500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Overcast,Swan Range,2022-12-26,,,,,,,,,,,,,Cloud Cover,Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,33 to 36 ° F,31 to 33 ° F,33 to 35 ° F,Swan Range,2022-12-26,,,,,,,,,,,,,Temperatures,Low:31 ° F | High:34 ° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Southwest,Southwest,Southwest,Swan Range,2022-12-26,,,,,,,,,,,,,Wind Direction,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,27G49,22G45,21G40,Swan Range,2022-12-26,,,,,,,,,,,,,Wind Speed,20G39mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"0 to 1""","3"" to 7""","4"" to 6""",Swan Range,2022-12-26,,,,,,,,,,,,,Snowfall,"3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,7000',6000',6000',Swan Range,2022-12-26,,,,,,,,,,,,,Snow Line,5500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-25,,,,,,,,,,,,,Cloud Cover,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,27 to 30 ° F,26 to 29 ° F,32 to 35 ° F,Swan Range,2022-12-25,,,,,,,,,,,,,Temperatures,Low: 23° F | High: 33° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,West,Southwest,Southwest,Swan Range,2022-12-25,,,,,,,,,,,,,Wind Direction,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,15G26,12,19G37,Swan Range,2022-12-25,,,,,,,,,,,,,Wind Speed,30G64 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"1"" to 2""","1""","0 to 1""",Swan Range,2022-12-25,,,,,,,,,,,,,Snowfall,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,4500',5000',6500',Swan Range,2022-12-25,,,,,,,,,,,,,Snow Line,3000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-24,,,,,,,,,,,,,Cloud Cover,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,28 to 32 ° F,25 to 29 ° F,29 to 32 ° F,Swan Range,2022-12-24,,,,,,,,,,,,,Temperatures,Low: 4° F | High: 23° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Southwest,Southwest,Southwest,Swan Range,2022-12-24,,,,,,,,,,,,,Wind Direction,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,19G47,34G53,23G48,Swan Range,2022-12-24,,,,,,,,,,,,,Wind Speed,25G55mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"2"" to 5""","3"" to 5""","2"" to 3""",Swan Range,2022-12-24,,,,,,,,,,,,,Snowfall,"4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2500',5000',5000',Swan Range,2022-12-24,,,,,,,,,,,,,Snow Line,500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-23,,,,,,,,,,,,,Cloud Cover,,,,,,,,,,,,,,,,,,,Mostly Clear,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,12 to 17 ° F,8 to 13 ° F,24 to 29 ° F,Swan Range,2022-12-23,,,,,,,,,,,,,Temperatures,,,,,,,,,,,,,,,,,,,Low: -3° F | High: -23° F,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Southwest,Southwest,Southwest,Swan Range,2022-12-23,,,,,,,,,,,,,Wind Direction,,,,,,,,,,,,,,,,,,,Southeast,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,11G25,12,13G24,Swan Range,2022-12-23,,,,,,,,,,,,,Wind Speed,,,,,,,,,,,,,,,,,,,17G32 mph,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"3"" to 4""","4"" to 5""","1""",Swan Range,2022-12-23,,,,,,,,,,,,,Snowfall,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0',1500',3000',Swan Range,2022-12-23,,,,,,,,,,,,,Snow Line,,,,,,,,,,,,,,,,,,,0',,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Clear,Partly Cloudy,Mostly Cloudy,Swan Range,2022-12-22,,,,,,,,,,,,,Cloud Cover,,,,,,,,Mostly Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,-18 to -11 ° F,-20 to -16 ° F,1 to 5 ° F,Swan Range,2022-12-22,,,,,,,,,,,,,Temperatures,,,,,,,,Low:-22 ° F | High:-11 ° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Southeast,South,Southwest,Swan Range,2022-12-22,,,,,,,,,,,,,Wind Direction,,,,,,,,East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,11G23,9,11G22,Swan Range,2022-12-22,,,,,,,,,,,,,Wind Speed,,,,,,,,26G44mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"0""","0""","2"" to 3""",Swan Range,2022-12-22,,,,,,,,,,,,,Snowfall,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0',0',0',Swan Range,2022-12-22,,,,,,,,,,,,,Snow Line,,,,,,,,0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Clear,Mostly Clear,Swan Range,2022-12-21,,,,,,,,,,,,,Cloud Cover,,,,,,,,,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,-19 to -14 ° F,-30 to -26 ° F,-18 to -12° F,Swan Range,2022-12-21,,,,,,,,,,,,,Temperatures,,,,,,,,,Low: -16° F | High:15° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Northeast,East,Southeast,Swan Range,2022-12-21,,,,,,,,,,,,,Wind Direction,,,,,,,,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,20G32,14G25,11G23,Swan Range,2022-12-21,,,,,,,,,,,,,Wind Speed,,,,,,,,,24G67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"0""","0""","0""",Swan Range,2022-12-21,,,,,,,,,,,,,Snowfall,,,,,,,,,"8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0',0',0',Swan Range,2022-12-21,,,,,,,,,,,,,Snow Line,,,,,,,,,0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Overcast,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-20,,,,,,,,,,,,,Cloud Cover,,,,,,,,,Overcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,6 to 16 ° F,-24 to -2 ° F,-19 to -1 ° F,Swan Range,2022-12-20,,,,,,,,,,,,,Temperatures,,,,,,,,,Low: 6° F | High: 11° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,West,Northeast,Northeast,Swan Range,2022-12-20,,,,,,,,,,,,,Wind Direction,,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,12G23,20G37,19G32,Swan Range,2022-12-20,,,,,,,,,,,,,Wind Speed,,,,,,,,,16G41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"6""","6"" to 7""","0""",Swan Range,2022-12-20,,,,,,,,,,,,,Snowfall,,,,,,,,,"6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0',0',0',Swan Range,2022-12-20,,,,,,,,,,,,,Snow Line,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-19,,,,,,,,,,,,,Cloud Cover,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,-1 to 5 ° F,-11 to -3 ° F,-1 to 7 ° F,Swan Range,2022-12-19,,,,,,,,,,,,,Temperatures,Low: 13° F | High: 18° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,North,West,West,Swan Range,2022-12-19,,,,,,,,,,,,,Wind Direction,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,13,10,9,Swan Range,2022-12-19,,,,,,,,,,,,,Wind Speed,25G61 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"1""","0""","4"" to 5""",Swan Range,2022-12-19,,,,,,,,,,,,,Snowfall,"2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,500',500',500',Swan Range,2022-12-19,,,,,,,,,,,,,Snow Line,500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Overcast,Overcast,Mostly Cloudy,Swan Range,2022-12-18,,,,,,,,,,,,,Cloud Cover,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,8 to 14 ° F,-13 to -7 ° F,-5 to ° F,Swan Range,2022-12-18,,,,,,,,,,,,,Temperatures,Low: 18° F | High: 20° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,East,Northeast,North,Swan Range,2022-12-18,,,,,,,,,,,,,Wind Direction,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,19G33,18,14,Swan Range,2022-12-18,,,,,,,,,,,,,Wind Speed,23G53 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"6"" to 7""","4"" to 5""","1""",Swan Range,2022-12-18,,,,,,,,,,,,,Snowfall,"2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,500',500',500',Swan Range,2022-12-18,,,,,,,,,,,,,Snow Line,500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-17,,,,,,,,,,,,,Cloud Cover,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,15 to 19 ° F,-3 to 6 ° F,3 to 10 ° F,Swan Range,2022-12-17,,,,,,,,,,,,,Temperatures,Low: 16° F | High: 18° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Southwest,East,East,Swan Range,2022-12-17,,,,,,,,,,,,,Wind Direction,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,15,16G33,19G32,Swan Range,2022-12-17,,,,,,,,,,,,,Wind Speed,12G30 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"0 to 1""","3"" to 4""","3"" to 4""",Swan Range,2022-12-17,,,,,,,,,,,,,Snowfall,"2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,500',500',500',Swan Range,2022-12-17,,,,,,,,,,,,,Snow Line,1000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-16,,,,,,,,,,,,,Cloud Cover,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,14 to 17 ° F,10 to 12 ° F,14 to 17 ° F,Swan Range,2022-12-16,,,,,,,,,,,,,Temperatures,Low: 15° F | High: 20° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Southwest,Southwest,Southwest,Swan Range,2022-12-16,,,,,,,,,,,,,Wind Direction,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,12,14G25,15G25,Swan Range,2022-12-16,,,,,,,,,,,,,Wind Speed,8G15 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"0""","0""","0""",Swan Range,2022-12-16,,,,,,,,,,,,,Snowfall,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,500',500',500',Swan Range,2022-12-16,,,,,,,,,,,,,Snow Line,500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-15,,,,,,,,,,,,,Cloud Cover,,,,,,,,,,,,,,,,,,,,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,15 to 18 ° F,8 to 11 ° F,13 to 16 ° F,Swan Range,2022-12-15,,,,,,,,,,,,,Temperatures,,,,,,,,,,,,,,,,,,,,Low: 18° F | High: 24° F,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Northwest,West,Southwest,Swan Range,2022-12-15,,,,,,,,,,,,,Wind Direction,,,,,,,,,,,,,,,,,,,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,8,9,11,Swan Range,2022-12-15,,,,,,,,,,,,,Wind Speed,,,,,,,,,,,,,,,,,,,,7 mph,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"0""","0""","0""",Swan Range,2022-12-15,,,,,,,,,,,,,Snowfall,,,,,,,,,,,,,,,,,,,,"2""",,,,,,,,,,,,,,,,,,,,,,,,,
5,,,500',500',500',Swan Range,2022-12-15,,,,,,,,,,,,,Snow Line,,,,,,,,,,,,,,,,,,,,500',,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Partly Cloudy,Mostly Cloudy,Swan Range,2022-12-14,,,,,,,,,,,,,Cloud Cover,,,,,,,,,,Partly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,18 to 21 ° F,6 to 10 ° F,14 to 17 ° F,Swan Range,2022-12-14,,,,,,,,,,,,,Temperatures,,,,,,,,,,Low:19 ° F | High: 22° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,North,North,Northwest,Swan Range,2022-12-14,,,,,,,,,,,,,Wind Direction,,,,,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,9G20,9G20,9G20,Swan Range,2022-12-14,,,,,,,,,,,,,Wind Speed,,,,,,,,,,10G24mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"2-4""","0""","0""",Swan Range,2022-12-14,,,,,,,,,,,,,Snowfall,,,,,,,,,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,1500',500',500',Swan Range,2022-12-14,,,,,,,,,,,,,Snow Line,,,,,,,,,,1500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-13,,,,,,,,,,,,,Cloud Cover,,,,,,,,,,,,,,,,,,,,,Mostly Clear,,,,,,,,,,,,,,,,,,,,,,,,
1,,,15 to 18° F,11 to 44° F,16 to 19° F,Swan Range,2022-12-13,,,,,,,,,,,,,Temperatures,,,,,,,,,,,,,,,,,,,,,Low:19 ° F | High:26 ° F,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Northwest,West,Northwest,Swan Range,2022-12-13,,,,,,,,,,,,,Wind Direction,,,,,,,,,,,,,,,,,,,,,East,,,,,,,,,,,,,,,,,,,,,,,,
3,,,8mph,10mph,9mph,Swan Range,2022-12-13,,,,,,,,,,,,,Wind Speed,,,,,,,,,,,,,,,,,,,,,24G54 mph,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"0""","0 ""","2-3""",Swan Range,2022-12-13,,,,,,,,,,,,,Snowfall,,,,,,,,,,,,,,,,,,,,,"0""",,,,,,,,,,,,,,,,,,,,,,,,
5,,,1000',500',1000',Swan Range,2022-12-13,,,,,,,,,,,,,Snow Line,,,,,,,,,,,,,,,,,,,,,500',,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Partly Cloudy,Partly Cloudy,Swan Range,2022-12-12,,,,,,,,,,,,,Cloud Cover,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,13 to 17 ° F,5 to 9 ° F,14 to 18° F,Swan Range,2022-12-12,,,,,,,,,,,,,Temperatures,Low: 25° F | High:33 ° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,East,East,West,Swan Range,2022-12-12,,,,,,,,,,,,,Wind Direction,East-northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,18,10,8,Swan Range,2022-12-12,,,,,,,,,,,,,Wind Speed,23G42 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"0""","0 ""","0""",Swan Range,2022-12-12,,,,,,,,,,,,,Snowfall,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,500',500',500',Swan Range,2022-12-12,,,,,,,,,,,,,Snow Line,2000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Partly Cloudy,Swan Range,2022-12-11,,,,,,,,,,,,,Cloud Cover,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,25 to 28 ° F,8 to 12 ° F,12 to 16 ° F,Swan Range,2022-12-11,,,,,,,,,,,,,Temperatures,Low: 18° F | High: 32° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Southeast,Northeast,East,Swan Range,2022-12-11,,,,,,,,,,,,,Wind Direction,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,5G15,10G20,10G25,Swan Range,2022-12-11,,,,,,,,,,,,,Wind Speed,29G54mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,"T to 2""","1 to 2""",0,Swan Range,2022-12-11,,,,,,,,,,,,,Snowfall,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,4000',1000',0,Swan Range,2022-12-11,,,,,,,,,,,,,Snow Line,2500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Swan Range,2022-12-10,,,,,,,,,,,,,Cloud Cover,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,25 to 28 ° F,20 to 24 ° F,25 to 29 ° F,Swan Range,2022-12-10,,,,,,,,,,,,,Temperatures,Low: 18° F | High:24 ° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,South,South,Southeast,Swan Range,2022-12-10,,,,,,,,,,,,,Wind Direction,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,23G33,16,9,Swan Range,2022-12-10,,,,,,,,,,,,,Wind Speed,26G37mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
